,,Accuracy,AUC,F1,Recall,Precision
"Dense Net, VGG16",train,0.9731127197518097,0.9869605556809349,0.9419642857142857,1.0,0.890295358649789
"Dense Net, VGG16",test,0.8096385542168675,0.6555042735042735,0.32478632478632474,0.2111111111111111,0.7037037037037037
"Logistic Regression, VGG16",train,1.0,1.0,1.0,1.0,1.0
"Logistic Regression, VGG16",test,0.8168674698795181,0.6018803418803419,0.3448275862068966,0.2222222222222222,0.7692307692307693
"SVC, VGG16",train,0.8924508790072389,0.7535545023696683,0.6729559748427673,0.5071090047393365,1.0
"SVC, VGG16",test,0.7855421686746988,0.5055555555555555,0.02197802197802198,0.011111111111111112,1.0
"Gradient Boosting, VGG16",train,0.9803516028955532,0.9549763033175356,0.9528535980148882,0.909952606635071,1.0
"Gradient Boosting, VGG16",test,0.8120481927710843,0.5827350427350427,0.2909090909090909,0.17777777777777778,0.8
"Random Forest, VGG16",train,1.0,1.0,1.0,1.0,1.0
"Random Forest, VGG16",test,0.7927710843373494,0.5222222222222223,0.0851063829787234,0.044444444444444446,1.0
"Dense Net, VGG19",train,0.9958634953464323,0.9998370069460117,0.9904306220095694,0.981042654028436,1.0
"Dense Net, VGG19",test,0.7951807228915663,0.4896410256410257,0.20560747663551399,0.12222222222222222,0.6470588235294118
"Logistic Regression, VGG19",train,1.0,1.0,1.0,1.0,1.0
"Logistic Regression, VGG19",test,0.8072289156626506,0.6037606837606838,0.3548387096774193,0.24444444444444444,0.6470588235294118
"SVC, VGG19",train,0.8852119958634953,0.7369668246445498,0.6430868167202572,0.47393364928909953,1.0
"SVC, VGG19",test,0.7831325301204819,0.5,0.0,0.0,0.0
"Gradient Boosting, VGG19",train,0.9886246122026887,0.9739336492890995,0.9732360097323601,0.9478672985781991,1.0
"Gradient Boosting, VGG19",test,0.7831325301204819,0.5200854700854701,0.09999999999999999,0.05555555555555555,0.5
"Random Forest, VGG19",train,1.0,1.0,1.0,1.0,1.0
"Random Forest, VGG19",test,0.7879518072289157,0.5151282051282051,0.06382978723404256,0.03333333333333333,0.75
"Dense Net, Resnet50",train,0.9989658738366081,0.9993417588204319,0.9976359338061466,1.0,0.9952830188679245
"Dense Net, Resnet50",test,0.7927710843373494,0.6848376068376069,0.2037037037037037,0.12222222222222222,0.6111111111111112
"Logistic Regression, Resnet50",train,1.0,1.0,1.0,1.0,1.0
"Logistic Regression, Resnet50",test,0.7903614457831325,0.5568376068376069,0.2300884955752212,0.14444444444444443,0.5652173913043478
"SVC, Resnet50",train,0.9131334022750776,0.8009478672985781,0.7514792899408285,0.6018957345971564,1.0
"SVC, Resnet50",test,0.7831325301204819,0.5,0.0,0.0,0.0
"Gradient Boosting, Resnet50",train,1.0,1.0,1.0,1.0,1.0
"Gradient Boosting, Resnet50",test,0.7903614457831325,0.5287179487179487,0.1212121212121212,0.06666666666666667,0.6666666666666666
"Random Forest, Resnet50",train,1.0,1.0,1.0,1.0,1.0
"Random Forest, Resnet50",test,0.7831325301204819,0.508034188034188,0.0425531914893617,0.022222222222222223,0.5
"Dense Net, EfficientNet",train,1.0,1.0,1.0,1.0,1.0
"Dense Net, EfficientNet",test,0.983132530120482,0.9987008547008547,0.96,0.9333333333333333,0.9882352941176471
"Logistic Regression, EfficientNet",train,1.0,1.0,1.0,1.0,1.0
"Logistic Regression, EfficientNet",test,0.9879518072289156,0.9762393162393163,0.9717514124293786,0.9555555555555556,0.9885057471264368
"SVC, EfficientNet",train,0.9979317476732161,0.9952606635071091,0.9952380952380951,0.990521327014218,1.0
"SVC, EfficientNet",test,0.9710843373493976,0.9373504273504273,0.9294117647058824,0.8777777777777778,0.9875
"Gradient Boosting, EfficientNet",train,1.0,1.0,1.0,1.0,1.0
"Gradient Boosting, EfficientNet",test,0.9734939759036144,0.954957264957265,0.9378531073446328,0.9222222222222223,0.9540229885057471
"Random Forest, EfficientNet",train,1.0,1.0,1.0,1.0,1.0
"Random Forest, EfficientNet",test,0.963855421686747,0.9166666666666667,0.9090909090909091,0.8333333333333334,1.0
"Dense Net, InceptionV3",train,1.0,1.0,1.0,1.0,1.0
"Dense Net, InceptionV3",test,0.9662650602409638,0.9896068376068377,0.9222222222222223,0.9222222222222223,0.9222222222222223
"Logistic Regression, InceptionV3",train,1.0,1.0,1.0,1.0,1.0
"Logistic Regression, InceptionV3",test,0.9662650602409638,0.9503418803418804,0.9222222222222223,0.9222222222222223,0.9222222222222223
"SVC, InceptionV3",train,0.9865563598759048,0.9691943127962086,0.9682151589242053,0.9383886255924171,1.0
"SVC, InceptionV3",test,0.9566265060240964,0.9040170940170941,0.8902439024390244,0.8111111111111111,0.9864864864864865
"Gradient Boosting, InceptionV3",train,1.0,1.0,1.0,1.0,1.0
"Gradient Boosting, InceptionV3",test,0.946987951807229,0.897863247863248,0.8690476190476191,0.8111111111111111,0.9358974358974359
"Random Forest, InceptionV3",train,1.0,1.0,1.0,1.0,1.0
"Random Forest, InceptionV3",test,0.9253012048192771,0.8358119658119658,0.7973856209150327,0.6777777777777778,0.9682539682539683
"Dense Net, VGG16 + PCA",train,1.0,1.0,1.0,1.0,1.0
"Dense Net, VGG16 + PCA",test,0.8168674698795181,0.7437435897435898,0.40625,0.28888888888888886,0.6842105263157895
"Logistic Regression, VGG16 + PCA",train,1.0,1.0,1.0,1.0,1.0
"Logistic Regression, VGG16 + PCA",test,0.8602409638554217,0.738034188034188,0.618421052631579,0.5222222222222223,0.7580645161290323
"SVC, VGG16 + PCA",train,0.9079627714581179,0.7890995260663507,0.7327327327327328,0.5781990521327014,1.0
"SVC, VGG16 + PCA",test,0.7855421686746988,0.5055555555555555,0.02197802197802198,0.011111111111111112,1.0
"Gradient Boosting, VGG16 + PCA",train,0.9968976215098242,0.9928909952606635,0.9928400954653938,0.985781990521327,1.0
"Gradient Boosting, VGG16 + PCA",test,0.7975903614457831,0.5333333333333333,0.125,0.06666666666666667,1.0
"Random Forest, VGG16 + PCA",train,1.0,1.0,1.0,1.0,1.0
